key,B_Index,N_Index,Cl_Index,Conf_id,source_TS_G_hartree,base_log_exists,fallback_log_exists,log_file,log_exists,status,error_type,error,electronic_energy_hartree,gibbs_rrho_hartree,gibbs_qharm_hartree,gibbs_qrrho_hartree,gibbs_full_qrrho_hartree,rrho_g_corr_hartree,qharm_g_corr_hartree,temperature_K,frequency_cutoff_cm_1,n_real_frequencies,n_low_positive_frequencies,min_positive_frequency_cm_1,low_positive_frequencies_cm_1,elapsed_seconds
B_00388_LB_00144_Cl_00462,388,144,462,0,-1885.932962,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00144_Cl_00462_0000.log,True,ok,,,-1886.02762307,-1885.9455153624683,-1885.9397997123474,-1885.940787526192,-1885.9444313448605,0.08210770753146886,0.08782335765249305,298.15,100.0,62,8,18.0992,"[18.0992, 27.526, 39.89, 43.7179, 49.9142, 68.4522, 79.4224, 94.6991]",0.05092180008068681
B_00388_LB_00160_Cl_00462,388,160,462,0,-1439.698526,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00160_Cl_00462_0000.log,True,ok,,,-1439.87563063,-1439.7564069271205,-1439.7524534107242,-1439.7530202948901,-1439.7558985594678,0.11922370287943963,0.12317721927571902,298.15,100.0,62,5,18.9025,"[18.9025, 24.9911, 55.7501, 65.0961, 85.7121]",0.061313699930906296
B_00388_LB_00160_Cl_00474,388,160,474,11,-1334.434202,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00160_Cl_00474_0011.log,True,ok,,,-1334.70334494,-1334.5286871267774,-1334.5234435862362,-1334.5243436329208,-1334.5278679788985,0.1746578132226126,0.17990135376379046,298.15,100.0,86,6,15.6791,"[15.6791, 25.6695, 45.0026, 49.9501, 55.116, 74.3181]",0.17801130004227161
B_00388_LB_00160_Cl_00490,388,160,490,0,-1117.38939,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00160_Cl_00490_0000.log,True,ok,,,-1117.5739586,-1117.4510440553777,-1117.4458254369883,-1117.4468910469825,-1117.4499677789604,0.1229145446223862,0.1281331630117238,298.15,100.0,65,5,15.7815,"[15.7815, 20.5273, 25.0032, 64.7487, 73.0295]",0.18640020000748336
B_00388_LB_00163_Cl_00462,388,163,462,0,-1887.134781,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00163_Cl_00462_0000.log,True,ok,,,-1887.24647382,-1887.142206411196,-1887.1352807699925,-1887.1367596264283,-1887.1406157029307,0.10426740880389847,0.11119305000728119,298.15,100.0,68,8,9.5518,"[9.5518, 21.7143, 39.5471, 41.1453, 46.1847, 51.0137, 81.808, 95.0302]",0.06695179990492761
B_00388_LB_00193_Cl_00462,388,193,462,0,-1557.562179,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00193_Cl_00462_0000.log,True,ok,,,-1557.84016188,-1557.6381223430858,-1557.632970572252,-1557.6338464811802,-1557.63729308644,0.20203953691436327,0.2071913077482908,298.15,100.0,89,7,18.55,"[18.55, 26.8217, 39.2512, 54.7603, 64.1261, 68.3083, 87.0146]",0.3372138999402523
B_00388_LB_00195_Cl_00462,388,195,462,0,-1670.630043,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00195_Cl_00462_0000.log,True,ok,,,-1670.93892742,-1670.7425832444685,-1670.73712433877,-1670.7380779951861,-1670.7416569214217,0.1963441755314549,0.20180308123018206,298.15,100.0,92,7,14.5103,"[14.5103, 30.0954, 36.5805, 46.0789, 57.0603, 76.635, 91.4821]",0.3097819001413882
B_00388_LB_00236_Cl_00555,388,236,555,1,-1189.925506,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00236_Cl_00555_0001.log,True,ok,,,-1190.14922505,-1189.989211979167,-1189.9815080795927,-1189.9836906869734,-1189.9868742780836,0.16001307083308192,0.1677169704073872,298.15,100.0,77,6,10.9338,"[10.9338, 13.8476, 15.3246, 30.1659, 53.3643, 72.9564]",0.307941900100559
B_00388_LB_00236_Cl_00603,388,236,603,1,-1263.898893,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00236_Cl_00603_0001.log,True,ok,,,-1264.10602855,-1263.9629018858325,-1263.9560612148814,-1263.9576544747738,-1263.9611172684324,0.14312666416742958,0.14996733511866375,298.15,100.0,74,7,14.8726,"[14.8726, 16.4573, 23.3451, 39.9129, 46.8508, 76.8877, 82.5913]",0.06973410001955926
B_00388_LB_00241_Cl_00462,388,241,462,10,-1326.132527,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00241_Cl_00462_0010.log,True,ok,,,-1326.30273782,-1326.2082332717398,-1326.2029410521584,-1326.2042344958552,-1326.2068347738614,0.09450454826020102,0.09979676784154054,298.15,100.0,53,5,13.446,"[13.446, 15.8552, 38.3015, 57.4891, 75.4777]",0.11108519998379052
B_00388_LB_00245_Cl_00462,388,245,462,1,-1347.214995,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00245_Cl_00462_0001.log,True,ok,,,-1347.3889239,-1347.2837541846143,-1347.2784815011678,-1347.279765272302,-1347.2823652978122,0.1051697153856888,0.11044239883211521,298.15,100.0,56,5,10.1389,"[10.1389, 22.2552, 36.8012, 57.1909, 76.1749]",0.34169579995796084
B_00388_LB_00254_Cl_00462,388,254,462,0,-1418.347742,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00254_Cl_00462_0000.log,True,ok,,,-1418.53233199,-1418.4401898248336,-1418.4361578320427,-1418.4368385477396,-1418.4394978113921,0.09214216516645661,0.09617415795748033,298.15,100.0,56,5,15.8023,"[15.8023, 41.2055, 44.8654, 54.7539, 84.4077]",0.22085480019450188
B_00388_LB_00258_Cl_00462,388,258,462,0,-1386.144043,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00258_Cl_00462_0000.log,True,ok,,,-1386.3478224,-1386.2367475974668,-1386.2314089258348,-1386.232599178562,-1386.2354983609594,0.11107480253317245,0.11641347416532326,298.15,100.0,62,6,14.9786,"[14.9786, 20.9205, 40.9556, 45.4205, 62.5242, 92.1828]",0.08964739996008575
B_00388_LB_00262_Cl_00573,388,262,573,0,-1288.584525,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00262_Cl_00573_0000.log,True,ok,,,-1288.95189554,-1288.6919516516132,-1288.6883814173266,-1288.6887523913422,-1288.6917495530513,0.25994388838682275,0.26351412267324886,298.15,100.0,107,5,27.5456,"[27.5456, 30.5809, 49.4996, 64.7527, 81.6209]",0.2812929998617619
B_00388_LB_00273_Cl_00462,388,273,462,10,-1418.353903,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00273_Cl_00462_0010.log,True,ok,,,-1418.53676089,-1418.4464063060261,-1418.4410553034502,-1418.442302280433,-1418.445141502885,0.09035458397394351,0.09570558654985176,298.15,100.0,56,5,14.2473,"[14.2473, 15.0787, 35.348, 64.6619, 67.7719]",0.37030950002372265
B_00388_LB_00273_Cl_00550,388,273,550,0,-1111.337324,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00273_Cl_00550_0000.log,True,ok,,,-1111.58713291,-1111.451876744606,-1111.4468241760833,-1111.4477744489284,-1111.4509749785286,0.1352561653940802,0.14030873391664755,298.15,100.0,71,6,14.6728,"[14.6728, 28.9079, 35.0161, 50.336, 71.7541, 84.8261]",0.24952870002016425
B_00388_LB_00288_Cl_00462,388,288,462,11,-1249.916564,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00288_Cl_00462_0011.log,True,ok,,,-1250.06076966,-1249.973663207769,-1249.9699488926342,-1249.9706544198077,-1249.9728496866717,0.08710645223097835,0.09082076736585003,298.15,100.0,47,5,22.7213,"[22.7213, 24.7861, 47.4188, 80.8744, 87.8189]",0.1526333000510931
B_00388_LB_00291_Cl_00462,388,291,462,0,-1646.916437,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00291_Cl_00462_0000.log,True,ok,,,-1646.99308449,-1646.9437882320499,-1646.9382179663655,-1646.9395693782885,-1646.942312517694,0.04929625795007277,0.05486652363444742,298.15,100.0,47,5,9.3786,"[9.3786, 22.2555, 31.4544, 54.7447, 73.3661]",0.04884190019220114
B_00388_LB_00291_Cl_00478,388,291,478,0,-1470.239737,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00291_Cl_00478_0000.log,True,ok,,,-1470.41250817,-1470.311695701749,-1470.3054005593037,-1470.3068987416639,-1470.3100962355606,0.10081246825095748,0.10710761069608327,298.15,100.0,68,6,9.1902,"[9.1902, 22.0974, 24.6127, 46.3424, 58.7053, 89.5431]",0.19135979982092977
B_00388_LB_00291_Cl_00568,388,291,568,1,-1842.172037,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00291_Cl_00568_0001.log,True,ok,,,-1842.39470966,-1842.2273237131012,-1842.2217627074083,-1842.2227715572856,-1842.2263261643154,0.16738594689869135,0.17294695259170942,298.15,100.0,86,7,15.4007,"[15.4007, 20.6585, 36.7973, 54.4677, 63.6807, 73.0952, 89.0581]",0.12040770007297397
B_00388_LB_00292_Cl_00569,388,292,569,20,-1771.434532,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00292_Cl_00569_0020.log,True,ok,,,-1771.59504346,-1771.5131295851397,-1771.508948516675,-1771.5094635829944,-1771.5126916498225,0.0819138748601589,0.08609494332484044,298.15,100.0,62,6,23.4446,"[23.4446, 31.9712, 47.6166, 55.0895, 67.7026, 86.1802]",0.3794249000493437
B_00388_LB_00292_Cl_00600,388,292,600,0,-1933.302061,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00292_Cl_00600_0000.log,True,ok,,,-1933.48570187,-1933.3887007019569,-1933.384942911699,-1933.3854409023252,-1933.388284413801,0.09700116804321741,0.10075895830102542,298.15,100.0,62,6,20.3223,"[20.3223, 36.0349, 56.1557, 58.3233, 76.6478, 98.1639]",0.263564599910751
B_00388_LB_00292_Cl_00604,388,292,604,1,-1542.607559,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00292_Cl_00604_0001.log,True,ok,,,-1542.86096212,-1542.7373842848806,-1542.7339045854048,-1542.7341639437652,-1542.737176172878,0.12357783511952701,0.12705753459532232,298.15,100.0,71,5,23.3429,"[23.3429, 40.0621, 55.4657, 60.8252, 76.8675]",0.11693180003203452
B_00388_LB_00292_Cl_00605,388,292,605,10,-1067.002963,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00292_Cl_00605_0010.log,True,ok,,,-1067.20854875,-1067.1204911610846,-1067.1168472136396,-1067.1173652250407,-1067.1199966832614,0.0880575889154219,0.09170153636040781,298.15,100.0,56,5,15.1107,"[15.1107, 37.826, 54.0567, 68.0672, 97.2593]",0.2962917999830097
B_00388_LB_00292_Cl_00608,388,292,608,0,-1609.080502,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00292_Cl_00608_0000.log,True,ok,,,-1609.41409943,-1609.2172640395645,-1609.2108312070861,-1609.211448075688,-1609.2167150386301,0.1968353904354775,0.20326822291386087,298.15,100.0,98,10,14.0852,"[14.0852, 27.5923, 41.9124, 47.084, 50.4981, 63.1429, 71.5271, 75.4276, 80.0576, 98.0676]",0.576470899861306
B_00388_LB_00295_Cl_00462,388,295,462,10,-1448.431493,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00295_Cl_00462_0010.log,True,ok,,,-1448.54192438,-1448.4729534596563,-1448.468652803239,-1448.46951910847,-1448.4719950957517,0.06897092034372153,0.0732715767611146,298.15,100.0,47,5,20.3166,"[20.3166, 26.1835, 43.9004, 58.9938, 73.5779]",0.41230919980444014
B_00388_LB_00296_Cl_00462,388,296,462,0,-1512.973876,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00296_Cl_00462_0000.log,True,ok,,,-1513.21321301,-1513.0801245259622,-1513.0761273575754,-1513.0765573048304,-1513.0797069066477,0.13308848403761378,0.13708565242440013,298.15,100.0,71,5,23.9284,"[23.9284, 31.3044, 42.2885, 60.384, 73.115]",0.17347000003792346
B_00388_LB_00296_Cl_00608,388,296,608,0,-1687.668482,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00296_Cl_00608_0000.log,True,ok,,,-1688.0649587,-1687.8176084983363,-1687.808894614767,-1687.8101688191732,-1687.8163799512502,0.24735020166367233,0.2560640852329613,298.15,100.0,116,12,7.7585,"[7.7585, 25.1609, 33.1876, 37.4548, 47.4364, 50.8139, 59.334, 61.6361, 70.8873, 77.649, 84.0691, 91.9759]",0.5198200999293476
B_00388_LB_00298_Cl_00483,388,298,483,11,-1647.408522,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00298_Cl_00483_0011.log,True,ok,,,-1647.65953305,-1647.4992980158308,-1647.4973321050525,-1647.497133019152,-1647.4997713540715,0.1602350341690152,0.16220094494752918,298.15,100.0,80,5,38.778,"[38.778, 64.0418, 69.8808, 74.6935, 93.876]",0.09558009984903038
B_00388_LB_00299_Cl_00462,388,299,462,0,-1478.90948,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00299_Cl_00462_0000.log,True,ok,,,-1479.12953504,-1478.9839623920766,-1478.9783353572475,-1478.9795649710502,-1478.9827318113648,0.14557264792350302,0.1511996827526697,298.15,100.0,71,6,14.7531,"[14.7531, 17.4194, 37.6223, 60.0515, 62.0084, 68.58]",0.07500259997323155
B_00388_LB_00300_Cl_00462,388,300,462,0,-1402.161428,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00300_Cl_00462_0000.log,True,ok,,,-1402.35260613,-1402.2544560971942,-1402.2491594192586,-1402.250301294988,-1402.253286627572,0.09815003280581634,0.10344671074127593,298.15,100.0,59,6,15.2781,"[15.2781, 16.6403, 43.6738, 59.7652, 63.8186, 82.9536]",0.35957169998437166
B_00388_LB_00300_Cl_00487,388,300,487,11,-1057.946364,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00300_Cl_00487_0011.log,True,ok,,,-1058.21328979,-1058.0693011699009,-1058.0647360298778,-1058.065418304558,-1058.0685994152523,0.14398862009924965,0.14855376012221588,298.15,100.0,74,6,17.3355,"[17.3355, 35.4384, 41.1948, 47.8783, 70.0553, 89.9505]",0.1902352999895811
B_00388_LB_00300_Cl_00577,388,300,577,10,-1076.519738,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00300_Cl_00577_0010.log,True,ok,,,-1076.80118193,-1076.620469493654,-1076.616186807376,-1076.616773552701,-1076.619917007168,0.1807124363461866,0.18499512262401602,298.15,100.0,83,6,17.907,"[17.907, 41.9541, 45.6975, 60.5366, 63.4226, 78.0838]",0.07641490013338625
B_00388_LB_00300_Cl_00608,388,300,608,0,-1576.856942,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00300_Cl_00608_0000.log,True,ok,,,-1577.20685201,-1576.9908319571737,-1576.9842308474463,-1576.9848237089054,-1576.9903033616756,0.2160200528262196,0.22262116255359576,298.15,100.0,104,12,19.2575,"[19.2575, 23.1299, 39.2761, 45.7893, 52.4706, 59.0982, 72.6466, 77.9013, 79.7014, 86.7383, 92.0062, 96.5165]",0.39752550004050136
B_00388_LB_00302_Cl_00488,388,302,488,2,-1699.772383,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00302_Cl_00488_0002.log,True,ok,,,-1700.0737371,-1699.8975534163276,-1699.8934929075704,-1699.8938687091143,-1699.8973916801601,0.17618368367251308,0.18024419242961687,298.15,100.0,89,6,21.1602,"[21.1602, 43.2159, 46.1151, 52.4573, 67.6967, 87.0793]",0.5902358000166714
B_00388_LB_00302_Cl_00489,388,302,489,0,-2391.645577,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00302_Cl_00489_0000.log,True,ok,,,-2391.79300533,-2391.732189962229,-2391.7266012918285,-2391.7277451992995,-2391.7310617025455,0.0608153677714427,0.06640403817157854,298.15,100.0,56,7,11.5674,"[11.5674, 22.5324, 39.5674, 51.3757, 65.178, 78.665, 94.6729]",0.14897799980826676
B_00388_LB_00302_Cl_00579,388,302,579,0,-1566.000817,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00302_Cl_00579_0000.log,True,ok,,,-1566.29400524,-1566.119962672989,-1566.116976282168,-1566.1170528924831,-1566.1201413123104,0.17404256701094684,0.17702895783186773,298.15,100.0,86,6,35.3944,"[35.3944, 38.6432, 58.8925, 70.9637, 77.1177, 92.8549]",0.16972530004568398
B_00388_LB_00303_Cl_00617,388,303,617,0,-3437.204569,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00303_Cl_00617_0000.log,True,ok,,,-3437.49736529,-3437.303568435383,-3437.2950600686218,-3437.2969880816836,-3437.3017409360205,0.19379685461687585,0.20230522137792079,298.15,100.0,104,10,7.8522,"[7.8522, 14.9128, 26.5811, 35.4667, 41.5814, 59.0979, 67.0717, 81.4181, 83.2349, 92.8733]",0.16098600020632148
B_00388_LB_00304_Cl_00489,388,304,489,0,-2285.798035,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00304_Cl_00489_0000.log,True,ok,,,-2285.98073644,-2285.8606861123844,-2285.854886987592,-2285.8560872865946,-2285.8594107762274,0.12005032761534629,0.12584945240765763,298.15,100.0,68,6,16.2154,"[16.2154, 22.4323, 24.4725, 46.3589, 54.0521, 92.323]",0.38522890000604093
B_00388_LB_00304_Cl_00490,388,304,490,0,-1006.198212,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00304_Cl_00490_0000.log,True,ok,,,-1006.41691909,-1006.2738069008055,-1006.2687104062406,-1006.26984312329,-1006.2726452088559,0.1431121891944666,0.14820868375936452,298.15,100.0,68,5,15.8985,"[15.8985, 23.3738, 26.1036, 64.9536, 69.1588]",0.11831289995461702
B_00388_LB_00306_Cl_00546,388,306,546,10,-2258.854195,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00306_Cl_00546_0010.log,True,ok,,,-2259.21689085,-2259.0021647297667,-2258.996506361678,-2258.9971210205836,-2259.001618813149,0.21472612023300414,0.22038448832219504,298.15,100.0,107,9,13.8048,"[13.8048, 33.8185, 40.8683, 46.0729, 55.8977, 67.2113, 78.98, 93.778, 97.0013]",0.18655189988203347
B_00388_LB_00306_Cl_00547,388,306,547,0,-2161.123471,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00306_Cl_00547_0000.log,True,ok,,,-2161.35909058,-2161.2252295444555,-2161.2203476277637,-2161.2206717259764,-2161.224954957416,0.13386103554487383,0.13874295223635566,298.15,100.0,80,8,27.0555,"[27.0555, 30.9994, 40.916, 51.9641, 62.3601, 73.8794, 77.7252, 84.6818]",0.22455559996888041
B_00388_LB_00306_Cl_00548,388,306,548,1,-2246.277667,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00306_Cl_00548_0001.log,True,ok,,,-2246.4673552,-2246.360778841474,-2246.3544735294236,-2246.355643682862,-2246.359661763011,0.106576358526005,0.11288167057656028,298.15,100.0,74,8,12.0472,"[12.0472, 20.1471, 31.1842, 44.8812, 57.4989, 72.6865, 87.2224, 96.7428]",0.3421492001507431
B_00388_LB_00306_Cl_00614,388,306,614,0,-1244.053642,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00306_Cl_00614_0000.log,True,ok,,,-1244.37809416,-1244.1884568119751,-1244.1846774255016,-1244.1849535679485,-1244.188205300792,0.18963734802489185,0.19341673449833513,298.15,100.0,89,6,24.4675,"[24.4675, 36.1848, 45.2973, 53.6072, 85.8202, 95.5565]",0.23472069995477796
B_00388_LB_00306_Cl_00619,388,306,619,10,-2655.461223,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00306_Cl_00619_0010.log,True,ok,,,-2655.62837208,-2655.5508657679557,-2655.544695231295,-2655.5459481707276,-2655.549619885402,0.07750631204471624,0.08367684870540196,298.15,100.0,68,7,10.2624,"[10.2624, 18.4838, 28.818, 45.88, 67.2176, 86.4326, 95.3244]",0.1083519000094384
B_00388_LB_00307_Cl_00584,388,307,584,0,-1181.690517,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00307_Cl_00584_0000.log,True,ok,,,-1181.93352625,-1181.7835526200402,-1181.7779179771026,-1181.7793665286401,-1181.7820277281915,0.14997362996002023,0.15560827289765078,298.15,100.0,74,5,12.9471,"[12.9471, 19.684, 26.1786, 55.3515, 66.6214]",0.13816640013828874
B_00388_LB_00309_Cl_00462,388,309,462,10,-1448.399865,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00309_Cl_00462_0010.log,True,ok,,,-1448.50895314,-1448.4416601343378,-1448.436626919314,-1448.4378792160683,-1448.4403292269908,0.06729300566206939,0.07232622068586084,298.15,100.0,47,5,11.3116,"[11.3116, 20.4999, 42.9017, 63.7446, 73.575]",0.10144580015912652
B_00388_LB_00332_Cl_00608,388,332,608,0,-1738.448551,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00332_Cl_00608_0000.log,True,ok,,,-1738.68542816,-1738.521686583124,-1738.5143533288674,-1738.5152313981785,-1738.5206715714041,0.16374157687597257,0.17107483113261074,298.15,100.0,89,12,15.0395,"[15.0395, 20.7137, 34.1072, 44.2752, 51.0643, 55.1265, 67.1249, 71.1097, 78.2317, 89.109, 94.2513, 95.4362]",0.10438919998705387
B_00388_LB_00333_Cl_00466,388,333,466,1,-1907.541405,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00333_Cl_00466_0001.log,True,ok,,,-1907.91875151,-1907.7088797190488,-1907.7033895765921,-1907.7038928490217,-1907.708546000096,0.2098717909512564,0.21536193340788815,298.15,100.0,107,9,16.8819,"[16.8819, 29.7639, 41.5916, 45.9888, 62.0542, 70.0921, 80.3047, 88.0619, 95.9134]",0.32153739989735186
